Familia,Nombre científico,Nombres comunes,1993¹,2001²,2002³,2003º,2006•,"AMENAZA A NIVEL NACIONAL"" (Libros Rojos de especies amenazadas 2002-2007)",AMENAZA A NIVEL NACIONAL (Resolución 383 de 2010-Derogada por la Res. 192 de 2014),AMENAZA A NIVEL NACIONAL (Resolución 192 de 2014),Año
ACANTHACEAE,Aphelandra cuatrecasasii  Leonard,,S1,,,,,,,,2015
ACANTHACEAE,Aphelandra euopla  Leonard,,S1,,,,,,,,2015
ACANTHACEAE,Aphelandra taborensis  Leonard,,S1,,,,,,,,2015
ACANTHACEAE,Aphelandra pharangophila,,,,,,,,,,2015
ACANTHACEAE,Dicliptera cuatrecasasii  Leonard,,S1,,,,,,,,2015
ACANTHACEAE,Dicliptera sarcochroma  Leonard,,S1,,,,,,,,2015
ACANTHACEAE,Justicia chrysea  Leonard,,S1,,,,,,,,2015
ACANTHACEAE,Justicia malacophylla  Leonard,,S1,,,,,,,,2015
ACANTHACEAE,Justicia novogranatensis  Leonard*,,S1,,,,,,,,2015
ACANTHACEAE,Justicia sterea  Leonard,,S1,,,,,,,,2015
ACANTHACEAE,Neriacanthus grandiflorus  Leonard,,S1,,,,,,,,2015
ACANTHACEAE,Rhombochlamys elata  Lindau,,S1,,,,,,,,2015
ACTINIDIACEAE,Saurauia cuatrecasana,,,,,,,,,,2015
AMARYLLIDACEAE,Caliphruria subedentata,,,,,,,,,,2015
AMARYLLIDACEAE,Eucharis bonplandii*,,,,,,,,,,2015
AMARYLLIDACEAE,Eucharis caucana  Meerow   *,,S1,,,,,,,,2015
AMARYLLIDACEAE,Plagiolirion horsmannii*,,,,,,,,,,2015
ANACARDIACEAE,Anacardium giganteum,,S1,,,,,,,,2015
ANACARDIACEAE,Anacardium excelsum  (Bert. & Balb. ex Kunth) Skeels,Caracolí,S2,,,,,,,,2015
ANACARDIACEAE,Campnosperma panamensis Standl,"Sajo, Vaquerá",,,,,,,,,2015
ANACARDIACEAE,Mauria birringo Tul.,,,,,,,,,,2015
ANACARDIACEAE,Mauria ferruginea  Tul.,,S1,,,,,,,,2015
ANACARDIACEAE,Mauria simplicifolia  H.B.K.,,S1,,,,,,,,2015
ANACARDIACEAE,Mauria suaveolens Poepp.,,,,,,,,,,2015
ANNONACEAE,Guatteria collina  R. E. Fries,,S1,,,,,,,,2015
ANNONACEAE,Guatteria crassipes  R. E. Fries,,S1,,,,,,,,2015
ANNONACEAE,Guatteria goudotiana  Tr. & Pl.,,S2,,,,,,,,2015
ANNONACEAE,Oxandra espintana*,,,,,,,,,,2015
ANNONACEAE,Rollinia edulis Triana & Pl.,,,,,,,,,,2015
ANNONACEAE,Xylopia ligustrifolium Don.,,S2,,,,,,,,2015
ANNONACEAE,Raimondia quinduensis,Anón de monte,,,,,,,,,2015
APOCYNACEAE,Mandevilla bracteata  (Kunth) Kuntz,,S1,,,,,,,,2015
APOCYNACEAE,Mandevilla fendleri  (Muell. Arg.),,S1,,,,,,,,2015
APOCYNACEAE,Mandevilla mollissima  (Kunth) K. S,,S1,,,,,,,,2015
APOCYNACEAE,Mandevilla montana  (Kunth) Markgraf,,S1,,,,,,,,2015
APOCYNACEAE,Mandevilla trianae  Woodson,,S1,,,,,,,,2015
APOCYNACEAE,Prestonia purpurissata  Woodson,,S1,,,,,,,,2015
APOCYNACEAE,Prestonia vallis  Woodson,,S1,,,,,,,,2015
APOCYNACEAE,Tabernaemontana stenoloba  Muell. A,,S1,,,,,,,,2015
AQUIFOLIACEAE,Ilex caliana  Cuatr.,,S1,,,,,,,,2015
AQUIFOLIACEAE,Ilex farallonensis  Cuatr.  *,,S1,,,,,,,,2015
AQUIFOLIACEAE,Ilex spinulosa*,,,,,,,,,,2015
AQUIFOLIACEAE,Ilex suprema*,,,,,,,,,,2015
ARACEAE,Anthurium angustisectum,,,,,,,,,,2015
ARECACEAE,Aiphanes duquei*,,,,,,,,,,2015
ARECACEAE,Aiphanes gelatinosa*,,,,,,,,,,2015
ARECACEAE,Aiphanes simplex Burret.,,,,,,,,,,2015
ARECACEAE,Attalea amygdalina*,,,,,,,,,,2015
ARECACEAE,Attalea victoriana  Dugand,,S1,,,,,,,,2015
